trace,frames,decider,faults,vs_LRU,headroom,prefetches,pf_used,pf_wasted,pf_precision,evictions,evict_vs_base,LRU_ref,OPT_ref,final_thr,thr_min,thr_max,thr_moves,mean_delta_rate,epochs_winning,epochs_losing,approved,d_budget,d_cost,d_thr,shadow_faults
437.leslie3d-s0,21,no-prefetch,15313,0.0,0.6159,0,0,0,0.0,15292,1.0,15313,5881,,,,,,,,,,,,
437.leslie3d-s0,21,always,9954,0.35,0.6159,5841,5486,355,0.939,15774,1.032,15313,5881,,,,,,,,,,,,
437.leslie3d-s0,21,fixed-0.3,9954,0.35,0.6159,5841,5486,355,0.939,15774,1.032,15313,5881,,,,,,,,,,,,
437.leslie3d-s0,21,fixed-0.6,10170,0.3359,0.6159,5520,5262,258,0.953,15669,1.025,15313,5881,,,,,,,,,,,,
437.leslie3d-s0,21,fixed-0.85,10888,0.289,0.6159,4763,4523,240,0.95,15630,1.022,15313,5881,,,,,,,,,,,,
437.leslie3d-s0,21,cost-aware,10086,0.3413,0.6159,5607,5347,260,0.954,15672,1.025,15313,5881,0.2,0.2,0.48,56.0,,,,5607.0,2.0,293.0,0.0,
437.leslie3d-s0,21,cost-aware-fd,9956,0.3498,0.6159,5839,5484,355,0.939,15774,1.032,15313,5881,0.15,0.15,0.45,100.0,1.34611,100.0,0.0,5839.0,2.0,0.0,0.0,15313.0
410.bwaves-s0,30,no-prefetch,3140,0.0,0.0089,0,0,0,0.0,3110,1.0,3140,3112,,,,,,,,,,,,
410.bwaves-s0,30,always,1969,0.3729,0.0089,1338,1171,165,0.875,3277,1.054,3140,3112,,,,,,,,,,,,
410.bwaves-s0,30,fixed-0.3,1969,0.3729,0.0089,1338,1171,165,0.875,3277,1.054,3140,3112,,,,,,,,,,,,
410.bwaves-s0,30,fixed-0.6,1969,0.3729,0.0089,1285,1171,112,0.911,3224,1.037,3140,3112,,,,,,,,,,,,
410.bwaves-s0,30,fixed-0.85,1969,0.3729,0.0089,1246,1171,73,0.94,3185,1.024,3140,3112,,,,,,,,,,,,
410.bwaves-s0,30,cost-aware,1969,0.3729,0.0089,1324,1171,151,0.884,3263,1.049,3140,3112,0.24,0.24,0.48,13.0,,,,1324.0,0.0,92.0,0.0,
410.bwaves-s0,30,cost-aware-fd,1969,0.3729,0.0089,1338,1171,165,0.875,3277,1.054,3140,3112,0.15,0.15,0.45,100.0,0.2946,100.0,0.0,1338.0,0.0,0.0,0.0,3140.0
clustered,6,no-prefetch,20344,0.0,0.4907,0,0,0,0.0,20338,1.0,20344,10361,,,,,,,,,,,,
clustered,6,always,20522,-0.0087,0.4907,18798,8280,10515,0.44,39314,1.933,20344,10361,,,,,,,,,,,,
clustered,6,fixed-0.3,20522,-0.0087,0.4907,18798,8280,10515,0.44,39314,1.933,20344,10361,,,,,,,,,,,,
clustered,6,fixed-0.6,20543,-0.0098,0.4907,9074,4546,4527,0.501,29611,1.456,20344,10361,,,,,,,,,,,,
clustered,6,fixed-0.85,20508,-0.0081,0.4907,4211,2250,1961,0.534,24713,1.215,20344,10361,,,,,,,,,,,,
clustered,6,cost-aware,20539,-0.0096,0.4907,8921,4482,4438,0.502,29454,1.448,20344,10361,0.64,0.5,0.64,89.0,,,,8921.0,0.0,9241.0,372.0,
clustered,6,cost-aware-fd,20490,-0.0072,0.4907,5538,2874,2664,0.519,26022,1.279,20344,10361,0.95,0.55,0.95,25.0,-0.04284,1.0,24.0,5538.0,73.0,0.0,13031.0,20344.0
clustered,9,no-prefetch,5803,0.0,0.5456,0,0,0,0.0,5794,1.0,5803,2637,,,,,,,,,,,,
clustered,9,always,5798,0.0009,0.5456,4551,3608,943,0.793,10340,1.785,5803,2637,,,,,,,,,,,,
clustered,9,fixed-0.3,5798,0.0009,0.5456,4551,3608,943,0.793,10340,1.785,5803,2637,,,,,,,,,,,,
clustered,9,fixed-0.6,5857,-0.0093,0.5456,2164,1778,386,0.822,8012,1.383,5803,2637,,,,,,,,,,,,
clustered,9,fixed-0.85,5814,-0.0019,0.5456,939,810,129,0.863,6744,1.164,5803,2637,,,,,,,,,,,,
clustered,9,cost-aware,5874,-0.0122,0.5456,2223,1806,417,0.812,8088,1.396,5803,2637,0.2,0.2,0.48,22.0,,,,2223.0,0.0,2257.0,0.0,
clustered,9,cost-aware-fd,5831,-0.0048,0.5456,1342,1134,208,0.845,7164,1.236,5803,2637,0.95,0.5,0.95,25.0,-0.0134,0.0,25.0,1342.0,0.0,0.0,3176.0,5803.0
bfs-3,20,no-prefetch,7394,0.0,0.1413,0,0,0,0.0,7374,1.0,7394,6349,,,,,,,,,,,,
bfs-3,20,always,7505,-0.015,0.1413,986,7,975,0.007,8471,1.149,7394,6349,,,,,,,,,,,,
bfs-3,20,fixed-0.3,7505,-0.015,0.1413,986,7,975,0.007,8471,1.149,7394,6349,,,,,,,,,,,,
bfs-3,20,fixed-0.6,7424,-0.0041,0.1413,232,6,224,0.026,7636,1.036,7394,6349,,,,,,,,,,,,
bfs-3,20,fixed-0.85,7398,-0.0005,0.1413,93,6,86,0.065,7471,1.013,7394,6349,,,,,,,,,,,,
bfs-3,20,cost-aware,7427,-0.0045,0.1413,251,6,243,0.024,7658,1.039,7394,6349,0.54,0.52,0.54,2.0,,,,251.0,0.0,892.0,0.0,
bfs-3,20,cost-aware-fd,7415,-0.0028,0.1413,192,6,185,0.031,7587,1.029,7394,6349,0.95,0.4,0.95,100.0,-0.00244,5.0,29.0,192.0,0.0,0.0,1057.0,7394.0
bfs-3,58,no-prefetch,6766,0.0,0.0868,0,0,0,0.0,6708,1.0,6766,6179,,,,,,,,,,,,
bfs-3,58,always,6784,-0.0027,0.0868,373,9,356,0.024,7099,1.058,6766,6179,,,,,,,,,,,,
bfs-3,58,fixed-0.3,6784,-0.0027,0.0868,373,9,356,0.024,7099,1.058,6766,6179,,,,,,,,,,,,
bfs-3,58,fixed-0.6,6770,-0.0006,0.0868,84,6,75,0.071,6796,1.013,6766,6179,,,,,,,,,,,,
bfs-3,58,fixed-0.85,6765,0.0001,0.0868,48,6,41,0.125,6755,1.007,6766,6179,,,,,,,,,,,,
bfs-3,58,cost-aware,6770,-0.0006,0.0868,84,6,75,0.071,6796,1.013,6766,6179,0.5,,,0.0,,,,84.0,0.0,304.0,0.0,
bfs-3,58,cost-aware-fd,6779,-0.0019,0.0868,280,9,270,0.032,7001,1.044,6766,6179,0.85,0.15,0.85,100.0,-0.00038,16.0,17.0,280.0,0.0,0.0,113.0,6766.0
pr-3,15,no-prefetch,5905,0.0,0.0532,0,0,0,0.0,5890,1.0,5905,5591,,,,,,,,,,,,
pr-3,15,always,5875,0.0051,0.0532,613,58,554,0.095,6473,1.099,5905,5591,,,,,,,,,,,,
pr-3,15,fixed-0.3,5875,0.0051,0.0532,613,58,554,0.095,6473,1.099,5905,5591,,,,,,,,,,,,
pr-3,15,fixed-0.6,5868,0.0063,0.0532,413,54,358,0.131,6266,1.064,5905,5591,,,,,,,,,,,,
pr-3,15,fixed-0.85,5870,0.0059,0.0532,370,52,318,0.141,6225,1.057,5905,5591,,,,,,,,,,,,
pr-3,15,cost-aware,5868,0.0063,0.0532,413,54,358,0.131,6266,1.064,5905,5591,0.58,0.52,0.58,4.0,,,,413.0,0.0,194.0,0.0,
pr-3,15,cost-aware-fd,5875,0.0051,0.0532,613,58,554,0.095,6473,1.099,5905,5591,0.45,0.45,0.5,100.0,0.00016,2.0,0.0,613.0,0.0,0.0,0.0,5905.0
pr-3,40,no-prefetch,5812,0.0,0.0802,0,0,0,0.0,5772,1.0,5812,5346,,,,,,,,,,,,
pr-3,40,always,5769,0.0074,0.0802,472,52,417,0.11,6201,1.074,5812,5346,,,,,,,,,,,,
pr-3,40,fixed-0.3,5769,0.0074,0.0802,472,52,417,0.11,6201,1.074,5812,5346,,,,,,,,,,,,
